Date,Close
2/01/1970 16:00:00,"809,2"
5/01/1970 16:00:00,"811,31"
6/01/1970 16:00:00,"803,66"
7/01/1970 16:00:00,"801,81"
8/01/1970 16:00:00,"802,07"
9/01/1970 16:00:00,"798,11"
12/01/1970 16:00:00,"790,52"
13/01/1970 16:00:00,"788,01"
14/01/1970 16:00:00,"787,16"
15/01/1970 16:00:00,"785,04"
16/01/1970 16:00:00,"782,6"
19/01/1970 16:00:00,"776,07"
20/01/1970 16:00:00,"777,85"
21/01/1970 16:00:00,"782,27"
22/01/1970 16:00:00,"786,1"
23/01/1970 16:00:00,"775,54"
26/01/1970 16:00:00,"768,88"
27/01/1970 16:00:00,"763,99"
28/01/1970 16:00:00,"758,84"
29/01/1970 16:00:00,"748,35"
30/01/1970 16:00:00,"744,06"
2/02/1970 16:00:00,"746,44"
3/02/1970 16:00:00,"757,46"
4/02/1970 16:00:00,"754,49"
5/02/1970 16:00:00,"750,26"
6/02/1970 16:00:00,"752,77"
9/02/1970 16:00:00,"755,68"
10/02/1970 16:00:00,"746,63"
11/02/1970 16:00:00,"757,33"
12/02/1970 16:00:00,"755,61"
13/02/1970 16:00:00,"753,3"
16/02/1970 16:00:00,"753,7"
17/02/1970 16:00:00,"747,43"
18/02/1970 16:00:00,"756,8"
19/02/1970 16:00:00,"757,92"
20/02/1970 16:00:00,"757,46"
24/02/1970 16:00:00,"754,42"
25/02/1970 16:00:00,"768,28"
26/02/1970 16:00:00,"764,45"
27/02/1970 16:00:00,"777,59"
2/03/1970 16:00:00,"780,23"
3/03/1970 16:00:00,"787,42"
4/03/1970 16:00:00,"788,15"
5/03/1970 16:00:00,"787,55"
6/03/1970 16:00:00,"784,12"
9/03/1970 16:00:00,"778,31"
10/03/1970 16:00:00,"779,7"
11/03/1970 16:00:00,"778,12"
12/03/1970 16:00:00,"776,47"
13/03/1970 16:00:00,"772,11"
16/03/1970 16:00:00,"765,05"
17/03/1970 16:00:00,"767,42"
18/03/1970 16:00:00,"767,95"
19/03/1970 16:00:00,"764,98"
20/03/1970 16:00:00,"763,66"
23/03/1970 16:00:00,"763,6"
24/03/1970 16:00:00,"773,76"
25/03/1970 16:00:00,"790,13"
26/03/1970 16:00:00,"791,05"
30/03/1970 16:00:00,"784,65"
31/03/1970 16:00:00,"785,57"
1/04/1970 16:00:00,"792,04"
2/04/1970 16:00:00,"792,37"
3/04/1970 16:00:00,"791,84"
6/04/1970 16:00:00,"791,18"
7/04/1970 16:00:00,"791,64"
8/04/1970 16:00:00,"791,64"
9/04/1970 16:00:00,"792,5"
10/04/1970 16:00:00,"790,46"
13/04/1970 16:00:00,"785,9"
14/04/1970 16:00:00,"780,56"
15/04/1970 16:00:00,"782,6"
16/04/1970 16:00:00,"775,87"
17/04/1970 16:00:00,"775,94"
20/04/1970 16:00:00,"775,87"
21/04/1970 16:00:00,"772,51"
22/04/1970 16:00:00,"762,61"
23/04/1970 16:00:00,"750,59"
24/04/1970 16:00:00,"747,29"
27/04/1970 16:00:00,"735,15"
28/04/1970 16:00:00,"724,33"
29/04/1970 16:00:00,"737,39"
30/04/1970 16:00:00,"736,07"
1/05/1970 16:00:00,"733,63"
4/05/1970 16:00:00,"714,56"
5/05/1970 16:00:00,"709,74"
6/05/1970 16:00:00,"718,39"
7/05/1970 16:00:00,"723,07"
8/05/1970 16:00:00,"717,73"
11/05/1970 16:00:00,"710,07"
12/05/1970 16:00:00,"704,59"
13/05/1970 16:00:00,"693,84"
14/05/1970 16:00:00,"684,79"
15/05/1970 16:00:00,"702,22"
18/05/1970 16:00:00,"702,81"
19/05/1970 16:00:00,"691,4"
20/05/1970 16:00:00,"676,55"
21/05/1970 16:00:00,"665,25"
22/05/1970 16:00:00,"662,17"
25/05/1970 16:00:00,"641,36"
26/05/1970 16:00:00,"631,16"
27/05/1970 16:00:00,"663,2"
28/05/1970 16:00:00,"684,15"
29/05/1970 16:00:00,"700,44"
1/06/1970 16:00:00,"710,36"
2/06/1970 16:00:00,"709,61"
3/06/1970 16:00:00,"713,86"
4/06/1970 16:00:00,"706,53"
5/06/1970 16:00:00,"695,03"
8/06/1970 16:00:00,"700,23"
9/06/1970 16:00:00,"700,16"
10/06/1970 16:00:00,"694,35"
11/06/1970 16:00:00,"684,42"
12/06/1970 16:00:00,"684,21"
15/06/1970 16:00:00,"687,36"
16/06/1970 16:00:00,"706,26"
17/06/1970 16:00:00,"704,68"
18/06/1970 16:00:00,"712,69"
19/06/1970 16:00:00,"720,43"
22/06/1970 16:00:00,"716,11"
23/06/1970 16:00:00,"698,11"
24/06/1970 16:00:00,"692,29"
25/06/1970 16:00:00,"693,59"
26/06/1970 16:00:00,"687,84"
29/06/1970 16:00:00,"682,91"
30/06/1970 16:00:00,"683,53"
1/07/1970 16:00:00,"687,64"
2/07/1970 16:00:00,"689,14"
6/07/1970 16:00:00,"675,66"
7/07/1970 16:00:00,"669,36"
8/07/1970 16:00:00,"682,09"
9/07/1970 16:00:00,"692,77"
10/07/1970 16:00:00,"700,1"
13/07/1970 16:00:00,"702,22"
14/07/1970 16:00:00,"703,04"
15/07/1970 16:00:00,"711,66"
16/07/1970 16:00:00,"723,44"
17/07/1970 16:00:00,"735,08"
20/07/1970 16:00:00,"733,91"
21/07/1970 16:00:00,"722,07"
22/07/1970 16:00:00,"724,67"
23/07/1970 16:00:00,"732,68"
24/07/1970 16:00:00,"730,22"
27/07/1970 16:00:00,"730,08"
28/07/1970 16:00:00,"731,45"
29/07/1970 16:00:00,"735,56"
30/07/1970 16:00:00,"734,73"
31/07/1970 16:00:00,"734,12"
3/08/1970 16:00:00,"722,96"
4/08/1970 16:00:00,"725,9"
5/08/1970 16:00:00,"724,81"
6/08/1970 16:00:00,"722,82"
7/08/1970 16:00:00,"725,7"
10/08/1970 16:00:00,"713,92"
11/08/1970 16:00:00,"712,55"
12/08/1970 16:00:00,"710,64"
13/08/1970 16:00:00,"707,35"
14/08/1970 16:00:00,"710,84"
17/08/1970 16:00:00,"709,06"
18/08/1970 16:00:00,"716,66"
19/08/1970 16:00:00,"723,99"
20/08/1970 16:00:00,"729,6"
21/08/1970 16:00:00,"745,41"
24/08/1970 16:00:00,"759,58"
25/08/1970 16:00:00,"758,97"
26/08/1970 16:00:00,"760,47"
27/08/1970 16:00:00,"759,79"
28/08/1970 16:00:00,"765,81"
31/08/1970 16:00:00,"764,58"
1/09/1970 16:00:00,"758,15"
2/09/1970 16:00:00,"756,64"
3/09/1970 16:00:00,"765,27"
4/09/1970 16:00:00,"771,15"
8/09/1970 16:00:00,"773,14"
9/09/1970 16:00:00,"766,43"
10/09/1970 16:00:00,"760,75"
